西元年月	股票代碼	公司簡稱	EPS	ROA(C)稅前息前折舊前	ROE(A)─稅後	每股淨值(B)	當季季底P/B	營業收入毛額	合併總損益	稅前息前折舊前淨利	營業毛利率	Tobins Q	稅前淨利率TSE	營收成長率	營業毛利成長率	流動比率	負債比率％	合併(Y/N)
201603	1456   	怡華        	           -.28	            .41	          -2.44	          11.33	            .73	       87279.00	      -26343.00	       -2175.00	          14.02	            .82	         -24.12	         -20.84	         -41.51	         153.69	          76.75	Y
201603	1457   	宜進        	            .13	            .73	            .63	          15.30	            .98	     1148454.00	       40533.00	      122990.00	           7.75	            .72	           3.68	          51.08	         -14.94	         113.44	          46.08	Y
201603	1459   	聯發        	           -.07	            .75	           -.58	          10.75	           1.06	      769048.00	      -20820.00	       52763.00	           6.71	            .96	          -2.45	         -23.34	         -53.47	         135.99	          49.81	Y
201603	1460   	宏遠        	            .27	           2.79	           2.41	          11.24	           1.52	     2126259.00	      117425.00	      269467.00	          22.51	           1.05	           6.19	           1.55	          23.61	         164.45	          49.22	Y
201603	1463   	強盛        	            .20	           1.11	           1.55	          12.17	           1.54	      130755.00	       31852.00	       41092.00	          21.69	            .89	          24.61	          -3.81	           3.89	         168.14	          44.48	Y
201603	1464   	得力        	            .40	           1.62	           2.48	          15.87	           2.57	     1853720.00	      108570.00	      143627.00	          18.26	           1.41	           2.49	          17.61	          16.20	         117.59	          51.58	Y
201603	1465   	偉全        	            .15	           1.40	           1.05	          17.67	            .83	      439188.00	       25312.00	       39278.00	          18.94	            .57	           5.99	         -16.14	           9.96	         600.08	          13.65	Y
201603	1466   	聚隆        	           -.42	            .08	          -2.54	          16.26	            .91	      870864.00	      -46557.00	       -3859.00	           2.58	            .79	          -5.79	         -17.16	         -71.23	         179.48	          49.73	Y
201603	1467   	南緯        	            .03	            .81	          -1.05	          10.46	           1.36	     1671550.00	      -28523.00	       55794.00	          18.41	            .87	          -1.03	           2.05	           2.32	         150.67	          60.99	Y
201603	1468   	昶和        	           -.01	            .82	           -.11	           7.04	           1.42	      151961.00	       -1256.00	       20037.00	          25.87	           1.07	           -.83	         -11.84	          61.69	         172.55	          52.26	Y
201603	1469   	理隆        	           -.05	           -.16	           -.35	          14.05	            .90	       98745.00	       -6190.00	       -3612.00	          10.67	            .87	          -6.85	          30.28	         281.32	         210.18	          21.93	Y
201603	1470   	大統染      	            .19	           2.88	           1.69	          11.37	           1.66	      183348.00	       16313.00	       31125.00	          25.24	           1.50	          10.72	          -8.21	          -1.61	         734.06	           9.78	N
201603	1471   	首利        	           -.44	          -2.02	          -4.01	          10.62	            .54	      285303.00	      -88675.00	      -53709.00	          -4.14	            .45	         -30.82	         -45.30	          53.38	         282.66	          15.88	Y
201603	1472   	三洋紡      	           1.13	          10.38	          22.22	           6.19	           1.76	      137863.00	       83386.00	      108012.00	         -16.93	           1.20	          70.07	         -26.01	        -158.03	          92.59	          60.88	Y
201603	1473   	台南        	           1.22	           4.06	           3.91	          27.37	           1.42	     2849152.00	      165304.00	      275024.00	          23.84	           1.02	           8.03	          13.80	          25.91	         169.00	          41.58	Y
201603	1474   	弘裕        	            .25	           1.93	           1.73	          14.31	            .71	      848203.00	       31866.00	       66570.00	          13.15	            .63	           4.52	            .52	          25.70	         137.68	          45.58	Y
201603	1475   	本盟        	           -.17	           1.02	          -1.33	           7.42	           1.24	       46580.00	       -2465.00	        2293.00	           -.88	           1.66	          -5.31	          -3.76	          82.11	         203.38	          48.15	Y
